trans,items
3,wholemilk|seasonalproducts|shoppingbags|
1,dessert|
1,photo|film|
1,bags|
2,rolls|buns|brownbread
7,brownbread|bottledwater|soda|fruit|vegetablejuice|bottledbeer|newspapers|photo|film|
9,beef|rootvegetables|othervegetables|margarine|saltysnack|waffles|specialtychocolate|kitchentowels|newspapers|
3,dessert|softcheese|rolls|buns|
1,misc.beverages|
1,sugar|
4,sausage|rolls|buns|soda|chocolate
3,wholemilk|cannedfish|newspapers|
6,sausage|finishedproducts|beverages|domesticeggs|pastry|saltysnack
1,cannedbeer|
6,citrusfruit|tropicalfruit|frozenmeals|frozendessert|rolls|buns|misc.beverages
4,sausage|bottledbeer|liquor|red|blushwine
2,wholemilk|newspapers
7,pipfruit|wholemilk|pastry|waffles|cakebar|specialtybar|shoppingbags|
2,frankfurter|bottledbeer
2,citrusfruit|wholemilk
1,misc.beverages|
6,frankfurter|beef|brownbread|margarine|soda|candy
2,chocolate|napkins
16,ham|tropicalfruit|pipfruit|grapes|berries|othervegetables|curd|dessert|yogurt|rolls|buns|margarine|honey|specialtychocolate|detergent|napkins|clingfilm|bags
3,frankfurter|brownbread|bottledbeer|
1,brownbread|
3,rolls|buns|whitebread|waffles|
5,pipfruit|zwieback|saltysnack|cakebar|specialtybar|
9,sausage|rootvegetables|wholemilk|rolls|buns|brownbread|margarine|soda|longlifebakeryproduct|cakebar|
3,rootvegetables|wholemilk|rolls|buns|
5,pork|brownbread|salt|liquor|shoppingbags|
5,wholemilk|yogurt|rolls|buns|waffles|specialtybar|
1,beverages|
3,tropicalfruit|domesticeggs|newspapers|
1,specialtychocolate|
1,pastry|
1,catfood|
15,chicken|citrusfruit|rootvegetables|othervegetables|beverages|icecream|rice|Instantfoodproducts|sweetspreads|cannedfish|soda|fruit|vegetablejuice|red|blushwine|newspapers|shoppingbags|
3,bottledbeer|liquor|red|blushwine|
2,whipped|sourcream|candy
1,longlifebakeryproduct|
4,beef|rootvegetables|whitewine|shoppingbags
1,saltysnack|
3,othervegetables|soda|specialtybar|
8,meat|citrusfruit|rootvegetables|wholemilk|dessert|yogurt|waffles|detergent
3,fish|rolls|buns|pottedplants|
5,wholemilk|slicedcheese|longlifebakeryproduct|candy|hairspray|
1,detergent|
2,hamburgermeat|photo|film
7,wholemilk|dessert|yogurt|slicedcheese|rolls|buns|soda|seasonalproducts|
1,beef|
2,frozenmeals|bottledbeer
2,pipfruit|yogurt
3,yogurt|frozenvegetables|decalcifier|
1,rolls|buns|
4,wholemilk|frozenmeals|pasta|candy
6,ham|frozenmeals|rolls|buns|cannedfish|coffee|instantcoffee
1,frozenmeals|
4,icecream|cannedfruit|cannedbeer|shoppingbags
6,pork|frozenpotatoproducts|rolls|buns|margarine|coffee|femalesanitaryproducts
1,chewinggum|
16,tropicalfruit|rootvegetables|othervegetables|butter|dessert|slicedcheese|frozenvegetables|icecream|frozendessert|rolls|buns|Instantfoodproducts|bakingpowder|cannedfish|fruit|vegetablejuice|newspapers|shoppingbags
5,wholemilk|pastry|sugar|soda|hygienearticles|
2,wholemilk|cereals
2,bottledwater|soda
3,sausage|wholemilk|rolls|buns|
2,wholemilk|napkins
1,wholemilk|
2,wholemilk|specialtybar
5,pork|tropicalfruit|whitebread|soda|bottledbeer|
1,curd|
3,dessert|frozenpotatoproducts|specialtychocolate|
1,waffles|
4,onions|othervegetables|spreadcheese|misc.beverages
2,misc.beverages|cannedbeer
1,shoppingbags|
1,whitewine|
3,frankfurter|curd|semi-finishedbread|
2,whitebread|cannedbeer
8,pork|beef|othervegetables|curd|whipped|sourcream|specialtycheese|dentalcare|shoppingbags
2,othervegetables|wholemilk
1,pork|
7,berries|salt|organicproducts|catfood|soda|bottledbeer|femalesanitaryproducts|
4,frankfurter|rootvegetables|bottledbeer|shoppingbags
4,rootvegetables|wholemilk|hardcheese|candy
4,finishedproducts|pipfruit|frozenpotatoproducts|soda
3,bottledwater|misc.beverages|bottledbeer|
5,margarine|coffee|instantcoffee|soda|cannedbeer|
2,soda|shoppingbags
4,hamburgermeat|wholemilk|cannedvegetables|soda
8,rootvegetables|onions|othervegetables|wholemilk|curd|yogurt|frozenfish|waffles
7,rootvegetables|onions|othervegetables|curd|whipped|sourcream|pickledvegetables|specialtyvegetables|
1,soda|
1,cannedbeer|
1,frozenfish|
1,beverages|
1,pipfruit|
1,pottedplants|
2,pork|wholemilk
1,fruit|vegetablejuice|
1,fruit|vegetablejuice|
2,fruit|vegetablejuice|saltysnack
1,tropicalfruit|
2,yogurt|misc.beverages
1,cannedbeer|
1,cannedbeer|
4,creamcheese|rolls|buns|candy|shoppingbags
1,bottledwater|
14,sausage|hamburgermeat|citrusfruit|othervegetables|dessert|yogurt|frozenmeals|frozenpotatoproducts|whitebread|fruit|vegetablejuice|longlifebakeryproduct|chocolate|candy|housekeepingproducts
4,soda|bottledbeer|liquor|red|blushwine
1,newspapers|
2,wholemilk|beverages
1,pottedplants|
4,yogurt|hardcheese|sugar|bottledbeer
2,rollproducts|misc.beverages
1,softcheese|
1,frozenmeals|
1,icecream|
9,frankfurter|pork|tropicalfruit|wholemilk|whipped|sourcream|frozenvegetables|frozenfish|margarine|newspapers|
29,meat|turkey|tropicalfruit|rootvegetables|onions|othervegetables|wholemilk|butter|yogurt|whipped|sourcream|slicedcheese|hardcheese|frozenmeals|frozendessert|domesticeggs|whitebread|salt|rice|oil|margarine|mustard|bakingpowder|dogfood|bottledwater|fruit|vegetablejuice|rum|longlifebakeryproduct|chocolate|cookingchocolate|
1,soda|
2,buttermilk|pastry
7,frozenpotatoproducts|rolls|buns|oil|bottledwater|cannedbeer|hygienearticles|napkins|
5,othervegetables|margarine|coffee|cannedbeer|flower(seeds)|
5,frankfurter|pork|wholemilk|pastry|soda|
2,misc.beverages|saltysnack
2,sausage|UHT-milk
5,butter|yogurt|rolls|buns|detergent|shoppingbags|
23,frankfurter|pork|beef|hamburgermeat|othervegetables|wholemilk|butter|curd|yogurt|whipped|sourcream|creamcheese|frozenvegetables|domesticeggs|rolls|buns|sugar|mustard|ketchup|meatspreads|cannedfish|bottledbeer|chewinggum|decalcifier|hygienearticles|
1,bottledwater|
1,kitchentowels|
8,othervegetables|wholemilk|bottledwater|soda|fruit|vegetablejuice|saltysnack|dentalcare|newspapers
4,butter|icecream|margarine|soda
6,sausage|wholemilk|domesticeggs|rolls|buns|fruit|vegetablejuice|lightbulbs
12,frankfurter|pork|pipfruit|rootvegetables|othervegetables|wholemilk|buttermilk|yogurt|creamcheese|rolls|buns|brownbread|soda
6,liverloaf|rootvegetables|othervegetables|wholemilk|frozenvegetables|whitewine
1,whitewine|
11,frankfurter|tropicalfruit|rootvegetables|wholemilk|curd|dessert|frozenvegetables|pastry|instantcoffee|tea|newspapers|
1,meat|
1,cannedbeer|
5,chicken|soda|liquor|whitewine|shoppingbags|
7,othervegetables|hardcheese|processedcheese|cereals|pickledvegetables|longlifebakeryproduct|specialtychocolate|
6,pipfruit|wholemilk|dessert|buttermilk|rolls|buns|cereals
6,othervegetables|wholemilk|processedcheese|whitebread|soda|newspapers
2,yogurt|frozenvegetables
3,rootvegetables|wholemilk|rolls|buns|
1,shoppingbags|
3,UHT-milk|bottledwater|soda|
3,wholemilk|dessert|buttermilk|
12,hamburgermeat|pipfruit|othervegetables|wholemilk|yogurt|creamcheese|margarine|sugar|bakingpowder|meatspreads|bottledwater|chewinggum
2,frozenvegetables|bottledbeer
12,rootvegetables|othervegetables|wholemilk|butter|dessert|frozenmeals|frozenfish|rice|bottledwater|fruit|vegetablejuice|longlifebakeryproduct|chocolate
9,sausage|othervegetables|wholemilk|butter|catfood|saltysnack|longlifebakeryproduct|waffles|chocolate|
5,wholemilk|rolls|buns|saltysnack|chocolate|newspapers|
29,beef|hamburgermeat|tropicalfruit|rootvegetables|onions|othervegetables|wholemilk|butter|yogurt|whipped|sourcream|slicedcheese|mayonnaise|frozenvegetables|frozenpotatoproducts|rolls|buns|whitebread|rice|oil|specialtyfat|specialtyvegetables|cannedfish|coffee|instantcoffee|bottledbeer|liquor(appetizer)|longlifebakeryproduct|chocolate|napkins|housekeepingproducts|
5,sausage|meat|wholemilk|rolls|buns|bottledbeer|
4,pork|beef|packagedfruit|vegetables|pastry
1,bottledbeer|
2,saltysnack|femalesanitaryproducts
1,bottledbeer|
2,soda|skincare
1,bottledwater|
6,frankfurter|othervegetables|mustard|soda|napkins|lightbulbs
9,tropicalfruit|othervegetables|wholemilk|yogurt|rolls|buns|bakingpowder|longlifebakeryproduct|chocolate|newspapers|
1,cannedbeer|
11,chicken|citrusfruit|curd|yogurt|domesticeggs|rolls|buns|spices|bottledwater|waffles|chocolate|shoppingbags|
3,citrusfruit|tropicalfruit|icecream|
1,curd|
12,citrusfruit|tropicalfruit|othervegetables|wholemilk|butter|whipped|sourcream|domesticeggs|sugar|saltysnack|longlifebakeryproduct|napkins|shoppingbags
4,citrusfruit|tropicalfruit|brownbread|napkins
3,othervegetables|soda|bottledbeer|
3,bottledwater|soda|waffles|
6,chicken|rootvegetables|onions|othervegetables|frozenvegetables|cakebar
1,waffles|
2,curd|cakebar
1,oil|
11,berries|rootvegetables|herbs|othervegetables|wholemilk|curd|creamcheese|cereals|longlifebakeryproduct|waffles|shoppingbags|
5,frankfurter|hamburgermeat|wholemilk|creamcheese|saltysnack|
8,pork|beef|frozenvegetables|frozenmeals|potatoproducts|margarine|napkins|cookware
7,tropicalfruit|rootvegetables|wholemilk|rolls|buns|bottledwater|napkins|dishes|
9,frankfurter|meat|wholemilk|rollproducts|flour|pickledvegetables|bottledbeer|napkins|shoppingbags|
2,specialtycheese|chewinggum
5,pork|rootvegetables|onions|bottledwater|soda|
12,citrusfruit|tropicalfruit|rootvegetables|othervegetables|wholemilk|yogurt|slicedcheese|hardcheese|specialtycheese|dogfood|bottledwater|newspapers
2,bottledbeer|whitewine
8,othervegetables|buttermilk|rolls|buns|oil|bottledwater|fruit|vegetablejuice|softener|dishes
20|frankfurter|beef|pipfruit|wholemilk|yogurt|whipped|sourcream|creamcheese|frozenvegetables|flour|margarine|cannedvegetables|pickledvegetables|coffee|bottledwater|soda|misc.beverages|fruit|vegetablejuice|saltysnack|waffles|pottedplants
1,cannedbeer|
5,citrusfruit|tropicalfruit|dessert|condensedmilk|margarine|
2,othervegetables|whitebread
13,citrusfruit|rootvegetables|othervegetables|wholemilk|whipped|sourcream|softcheese|frozenvegetables|whitebread|flour|margarine|bakingpowder|waffles|hygienearticles|
4,wholemilk|creamcheese|saltysnack|candy
5,soda|fruit|vegetablejuice|cakebar|candy|candles|
1,othervegetables|
1,pipfruit|
1,cannedbeer|
10,tropicalfruit|othervegetables|wholemilk|curd|buttermilk|yogurt|whipped|sourcream|creamcheese|rolls|buns|pastry
5,rootvegetables|onions|othervegetables|frozenfruits|cannedbeer|
5,othervegetables|wholemilk|yogurt|rolls|buns|newspapers|
5,rootvegetables|othervegetables|yogurt|rolls|buns|flour|
1,bottledwater|
1,wholemilk|
3,rootvegetables|wholemilk|rollproducts|
13,tropicalfruit|pipfruit|othervegetables|frozenvegetables|icecream|brownbread|pastry|flour|pickledvegetables|coffee|soda|misc.beverages|fruit|vegetablejuice|
7,butter|curd|dessert|creamcheese|cannedbeer|candy|shoppingbags|
1,flowersoil|fertilizer|
4,pasta|soda|snackproducts|cakebar
7,othervegetables|dessert|candy|abrasivecleaner|dishes|clingfilm|bags|candles|
8,othervegetables|curd|yogurt|UHT-milk|brownbread|bottledwater|newspapers|shoppingbags
1,beef|
1,rootvegetables|
3,wholemilk|frozenvegetables|coffee|
16,pork|rootvegetables|othervegetables|wholemilk|butter|whipped|sourcream|processedcheese|domesticeggs|rolls|buns|whitebread|pastry|jam|soda|waffles|candy|napkins
2,beef|othervegetables
1,specialtybar|
1,saltysnack|
8,sausage|ham|grapes|othervegetables|bottledwater|misc.beverages|brandy|shoppingbags
5,tropicalfruit|frozenmeals|rolls|buns|bottledbeer|newspapers|
1,cannedbeer|
12,pipfruit|grapes|wholemilk|yogurt|spreadcheese|brownbread|semi-finishedbread|rice|pickledvegetables|bottledbeer|newspapers|pottedplants
1,turkey|
1,othervegetables|
14,sausage|beef|citrusfruit|tropicalfruit|nuts|prunes|rootvegetables|othervegetables|wholemilk|mayonnaise|oil|bakingpowder|pickledvegetables|chocolate|newspapers
12,frankfurter|pipfruit|nuts|prunes|onions|specialtycheese|brownbread|soda|fruit|vegetablejuice|saltysnack|chocolate|malecosmetics|shoppingbags
8,citrusfruit|wholemilk|softcheese|rice|margarine|sugar|soups|bottledwater
4,chicken|pork|frozenvegetables|soda
17,citrusfruit|tropicalfruit|othervegetables|wholemilk|butter|yogurt|whipped|sourcream|softcheese|slicedcheese|hardcheese|rollproducts|margarine|soda|misc.beverages|fruit|vegetablejuice|chocolate|newspapers|
5,flour|sugar|catfood|misc.beverages|waffles|
1,bakingpowder|
12,finishedproducts|tropicalfruit|pipfruit|othervegetables|wholemilk|frozenfish|pastry|cannedfish|seasonalproducts|dentalcare|hygienearticles|pottedplants
4,frankfurter|rolls|buns|margarine|soda
9,chicken|curd|UHT-milk|creamcheese|margarine|coffee|saltysnack|waffles|dishes|
11,chicken|othervegetables|wholemilk|domesticeggs|oil|margarine|sugar|coffee|bottledbeer|specialtybar|candy|
4,sausage|beef|wholemilk|pastry
4,beef|othervegetables|margarine|soda
3,wholemilk|frozenmeals|specialtychocolate|
2,sausage|othervegetables
2,othervegetables|pottedplants
2,onions|rollproducts
14,sausage|rootvegetables|onions|herbs|othervegetables|UHT-milk|hardcheese|creamcheese|frozenvegetables|rolls|buns|bottledwater|soda|bottledbeer|red|blushwine
8,frankfurter|sausage|tropicalfruit|oil|spices|pickledvegetables|bottledwater|misc.beverages
3,zwieback|longlifebakeryproduct|dentalcare|
8,chicken|tropicalfruit|pipfruit|whipped|sourcream|sugar|bakingpowder|instantcoffee|soda
2,frankfurter|curdcheese
8,wholemilk|whipped|sourcream|semi-finishedbread|bakingpowder|pickledvegetables|bottledwater|soda|napkins
2,frozenfish|brandy
7,berries|wholemilk|frozenmeals|frozendessert|rolls|buns|soda|shoppingbags|
11,chicken|pork|othervegetables|wholemilk|butter|curd|margarine|pickledvegetables|waffles|specialtychocolate|hygienearticles|
3,onions|yogurt|icecream|
15,beef|rootvegetables|herbs|packagedfruit|vegetables|whipped|sourcream|creamcheese|vinegar|oil|margarine|soups|pickledvegetables|meatspreads|cannedfish|fruit|vegetablejuice|candles|
11,rootvegetables|wholemilk|semi-finishedbread|catfood|fruit|vegetablejuice|cannedbeer|liquor(appetizer)|waffles|hygienearticles|newspapers|shoppingbags|
1,soda|
3,wholemilk|softcheese|rum|
8,citrusfruit|butter|dessert|processedcheese|whitebread|pickledvegetables|seasonalproducts|dentalcare
9,sausage|citrusfruit|wholemilk|UHT-milk|specialtycheese|frozenvegetables|tea|bottledwater|fruit|vegetablejuice|
1,sparklingwine|
7,UHT-milk|catfood|coffee|bottledbeer|whitewine|sparklingwine|shoppingbags|
1,soda|
3,curd|catfood|soda|
8,wholemilk|processedcheese|mayonnaise|margarine|mustard|catfood|coffee|bottledwater
11,frankfurter|pork|tropicalfruit|rootvegetables|othervegetables|wholemilk|curd|buttermilk|yogurt|frozendessert|chewinggum|
1,chocolate|
3,othervegetables|processedcheese|tea|
1,coffee|
9,tropicalfruit|othervegetables|buttermilk|curdcheese|sugar|fruit|vegetablejuice|bottledbeer|chocolate|candles|
6,beef|fish|yogurt|pastry|soda|specialtychocolate
4,whipped|sourcream|domesticeggs|bottledwater|soda
10,tropicalfruit|pipfruit|othervegetables|buttermilk|yogurt|whipped|sourcream|UHT-milk|margarine|sugar|waffles
2,UHT-milk|cannedbeer
3,rootvegetables|semi-finishedbread|specialtybar|
9,frankfurter|sausage|butter|dessert|spreadcheese|whitebread|pastry|coffee|waffles|
12,pipfruit|othervegetables|wholemilk|buttermilk|yogurt|creamcheese|pasta|fruit|vegetablejuice|dentalcare|hygienearticles|kitchentowels|photo|film
3,pipfruit|softcheese|tidbits|
1,whipped|sourcream|
1,cannedbeer|
1,oil|
2,whitebread|bottledbeer
2,soda|specialtybar
1,hygienearticles|
1,bottledbeer|
8,dessert|yogurt|brownbread|pastry|soda|longlifebakeryproduct|cakebar|lightbulbs
3,cereals|specialtychocolate|pottedplants|
1,cannedbeer|
3,frankfurter|soda|shoppingbags|
5,sausage|othervegetables|creamcheese|domesticeggs|soda|
4,UHT-milk|creamcheese|spreadcheese|rolls|buns
2,misc.beverages|specialtychocolate
1,bakingpowder|
2,bottledwater|soda
9,meat|chicken|berries|yogurt|whipped|sourcream|creamcheese|mayonnaise|brownbread|longlifebakeryproduct|
2,bottledwater|bottledbeer
2,pork|pipfruit
4,tropicalfruit|pipfruit|soda|whitewine
15,citrusfruit|pipfruit|rootvegetables|othervegetables|butter|UHT-milk|frozenvegetables|pastry|margarine|sugar|soups|soda|bottledbeer|longlifebakeryproduct|softener|
3,rolls|buns|soda|cannedbeer|
2,meatspreads|specialtybar
3,brownbread|bottledwater|specialtybar|
1,bottledwater|
5,frankfurter|UHT-milk|oil|bottledwater|cannedbeer|
12,pork|citrusfruit|pipfruit|rootvegetables|othervegetables|dessert|buttermilk|slicedcheese|processedcheese|fruit|vegetablejuice|chocolate|shoppingbags
9,yogurt|hardcheese|rolls|buns|sweetspreads|soda|misc.beverages|specialtychocolate|hygienearticles|napkins|
1,soda|
1,cannedbeer|
1,pastry|
4,citrusfruit|herbs|othervegetables|curd
1,citrusfruit|
5,sausage|domesticeggs|pastry|bottledwater|newspapers|
1,decalcifier|
9,sausage|ham|meat|butter|UHT-milk|mayonnaise|bakingpowder|bottledwater|fruit|vegetablejuice|
2,beef|chocolate
2,hamburgermeat|ketchup
3,mayonnaise|whitebread|soda|
2,fruit|vegetablejuice|chewinggum
7,finishedproducts|pipfruit|othervegetables|domesticeggs|margarine|bottledbeer|newspapers|
8,chicken|othervegetables|bottledbeer|cannedbeer|sparklingwine|chocolate|newspapers|pottedplants
4,wholemilk|dessert|soda|bottledbeer
10,ham|rootvegetables|othervegetables|dessert|brownbread|pasta|margarine|bottledwater|fruit|vegetablejuice|red|blushwine
1,liquor|
1,cannedbeer|
2,dogfood|clingfilm|bags
7,citrusfruit|tropicalfruit|yogurt|UHT-milk|domesticeggs|mustard|cannedfish|
6,tropicalfruit|dessert|yogurt|domesticeggs|oil|fruit|vegetablejuice
7,beef|citrusfruit|rootvegetables|bottledwater|soda|fruit|vegetablejuice|pottedplants|
1,photo|film|
8,chicken|butter|UHT-milk|spreadcheese|bottledbeer|saltysnack|waffles|chewinggum
4,sausage|rolls|buns|misc.beverages|fruit|vegetablejuice
1,wholemilk|
4,meat|othervegetables|whitebread|newspapers
4,wholemilk|rolls|buns|specialtychocolate|candy
8,beef|rootvegetables|wholemilk|butter|yogurt|soda|abrasivecleaner|newspapers
12,ham|meat|berries|othervegetables|wholemilk|butter|yogurt|processedcheese|specialtycheese|whitebread|margarine|specialtybar
5,sausage|meat|othervegetables|frozenvegetables|rolls|buns|
5,sausage|brownbread|rollproducts|coffee|dishcleaner|
6,ham|othervegetables|yogurt|domesticeggs|semi-finishedbread|newspapers
5,pork|othervegetables|rolls|buns|cannedfish|chocolate|
2,cannedbeer|specialtybar
3,chicken|bottledwater|liquor(appetizer)|
12,beef|hamburgermeat|tropicalfruit|pipfruit|othervegetables|wholemilk|buttermilk|yogurt|icecream|rolls|buns|pastry|fruit|vegetablejuice
5,yogurt|condensedmilk|petcare|housekeepingproducts|shoppingbags|
4,tropicalfruit|wholemilk|margarine|sugar
5,chicken|rootvegetables|rolls|buns|margarine|bottledwater|
1,flowersoil|fertilizer|
3,othervegetables|wholemilk|waffles|
3,frozenvegetables|domesticeggs|pastry|
1,margarine|
1,meat|
2,meat|newspapers
3,pipfruit|cannedbeer|whitewine|
12,ham|citrusfruit|tropicalfruit|pipfruit|herbs|othervegetables|wholemilk|yogurt|spreadcheese|brownbread|dogfood|fruit|vegetablejuice
4,beef|wholemilk|margarine|saltysnack
4,othervegetables|bottledwater|bottledbeer|waffles
8,ham|tropicalfruit|beverages|hardcheese|waffles|chocolate|specialtychocolate|specialtybar
5,yogurt|frozenvegetables|napkins|newspapers|pottedplants|
3,othervegetables|frozenfish|vinegar|
3,wholemilk|domesticeggs|clingfilm|bags|
6,rootvegetables|UHT-milk|rolls|buns|brownbread|pastry|bottledwater
16,frankfurter|liverloaf|pipfruit|wholemilk|yogurt|beverages|creamcheese|frozenvegetables|frozenmeals|brownbread|pastry|cereals|bottledwater|soda|fruit|vegetablejuice|kitchentowels
1,bottledbeer|
15,hamburgermeat|pipfruit|rootvegetables|othervegetables|wholemilk|curd|domesticeggs|salt|vinegar|oil|margarine|spices|coffee|bottledbeer|newspapers|
6,sausage|packagedfruit|vegetables|wholemilk|brownbread|bottledwater|newspapers
8,chicken|beef|rootvegetables|brownbread|margarine|catfood|bottledwater|soda
1,dishes|
7,pork|rootvegetables|slicedcheese|specialtychocolate|specialtybar|napkins|shoppingbags|
10,frankfurter|chicken|pork|citrusfruit|rootvegetables|wholemilk|yogurt|brownbread|instantcoffee|seasonalproducts
1,napkins|
3,rootvegetables|UHT-milk|soda|
7,chicken|beef|rootvegetables|wholemilk|creamcheese|petcare|newspapers|
2,frankfurter|rolls|buns
1,cannedbeer|
1,cannedbeer|
11,sausage|ham|grapes|othervegetables|UHT-milk|frozenmeals|frozenpotatoproducts|rolls|buns|waffles|chocolate|candy|
7,frankfurter|sausage|pork|slicedcheese|pastry|margarine|newspapers|
1,bottledwater|
8,othervegetables|wholemilk|yogurt|icecream|flour|margarine|bakingpowder|puddingpowder
1,rolls|buns|
12,frankfurter|pork|citrusfruit|othervegetables|domesticeggs|pastry|ketchup|pickledvegetables|soda|syrup|skincare|newspapers
7,sausage|wholemilk|UHT-milk|rolls|buns|sugar|cannedbeer|shoppingbags|
14,frankfurter|chicken|hamburgermeat|pipfruit|othervegetables|wholemilk|butter|curd|whipped|sourcream|saladdressing|frozendessert|frozenpotatoproducts|pastry|rice
2,wholemilk|pastry
9,beef|citrusfruit|pipfruit|rootvegetables|othervegetables|pastry|flour|cannedbeer|red|blushwine|
1,cannedbeer|
3,frankfurter|margarine|bottledbeer|
2,frozenchicken|saltysnack
7,pork|whipped|sourcream|icecream|rolls|buns|bottledwater|chocolate|dishcleaner|
9,tropicalfruit|berries|othervegetables|butter|curd|UHT-milk|hardcheese|domesticeggs|rolls|buns|
1,othervegetables|
2,coffee|soda
8,meat|othervegetables|wholemilk|whipped|sourcream|rolls|buns|margarine|soda|shoppingbags
4,citrusfruit|softcheese|rolls|buns|pastry
11,citrusfruit|tropicalfruit|rootvegetables|othervegetables|wholemilk|whipped|sourcream|curdcheese|frozenvegetables|soups|catfood|chewinggum|
4,othervegetables|saltysnack|dishes|housekeepingproducts
2,beef|rootvegetables
1,dishes|
1,shoppingbags|
10,tropicalfruit|othervegetables|whipped|sourcream|beverages|hardcheese|creamcheese|flour|sweetspreads|soda|longlifebakeryproduct
6,hamburgermeat|othervegetables|sauces|soda|saltysnack|newspapers
6,sausage|othervegetables|dessert|pastry|waffles|dishcleaner
5,wholemilk|curd|semi-finishedbread|bakingpowder|soda|
1,othervegetables|
1,icecream|
7,turkey|othervegetables|whipped|sourcream|cannedvegetables|instantcoffee|bottledwater|red|blushwine|
9,pipfruit|berries|othervegetables|wholemilk|yogurt|domesticeggs|rolls|buns|pastry|margarine|
14,chicken|hamburgermeat|rootvegetables|onions|othervegetables|wholemilk|butter|curd|buttermilk|frozenvegetables|domesticeggs|oil|cannedvegetables|popcorn
7,rootvegetables|wholemilk|yogurt|whipped|sourcream|rolls|buns|bakingpowder|liqueur|
8,sausage|meat|rolls|buns|cannedbeer|popcorn|nutsnack|waffles|shoppingbags
6,pickledvegetables|cannedfish|soda|bottledbeer|chewinggum|candles
4,frankfurter|sausage|packagedfruit|vegetables|condensedmilk
5,meat|frozenmeals|rollproducts|bottledbeer|longlifebakeryproduct|
6,berries|buttermilk|yogurt|petcare|soda|napkins
1,chewinggum|
1,specialtychocolate|
1,sausage|
3,buttermilk|rolls|buns|longlifebakeryproduct|
1,cannedbeer|
7,frankfurter|onions|herbs|othervegetables|yogurt|whipped|sourcream|fruit|vegetablejuice|
2,bottledwater|bottledbeer
3,pork|rootvegetables|shoppingbags|
1,bottledbeer|
1,soda|
5,yogurt|beverages|fruit|vegetablejuice|detergent|cleaner|
1,petcare|
3,pork|wholemilk|slicedcheese|
13,tropicalfruit|berries|othervegetables|wholemilk|yogurt|whipped|sourcream|frozenvegetables|coffee|bottledwater|soda|saltysnack|longlifebakeryproduct|specialtybar|
8,organicsausage|wholemilk|yogurt|softcheese|creamcheese|fruit|vegetablejuice|napkins|shoppingbags
8,ham|othervegetables|wholemilk|butter|yogurt|flour|oil|spices
8,sausage|hamburgermeat|berries|UHT-milk|catfood|soda|saltysnack|napkins
2,wholemilk|pastry
3,frozenfish|cannedbeer|waffles|
1,whipped|sourcream|
7,pork|othervegetables|yogurt|whitebread|bottledbeer|napkins|shoppingbags|
3,UHT-milk|bottledwater|specialtychocolate|
1,misc.beverages|
1,specialtychocolate|
1,sausage|
1,frozenmeals|
2,specialtychocolate|specialtybar
6,wholemilk|butter|curd|yogurt|whipped|sourcream|rolls|buns
4,wholemilk|yogurt|soda|cannedbeer
9,pipfruit|rootvegetables|butter|UHT-milk|rolls|buns|coffee|soda|bottledbeer|red|blushwine|
2,frozenmeals|soda
8,frankfurter|othervegetables|wholemilk|spreadcheese|sugar|soda|bottledbeer|housekeepingproducts
13,pipfruit|onions|othervegetables|wholemilk|butter|softcheese|domesticeggs|whitebread|margarine|cocoadrinks|bottledwater|fruit|vegetablejuice|chocolate|
8,rolls|buns|rice|cannedfish|cocoadrinks|bottledbeer|red|blushwine|waffles|chocolate
9,sausage|ham|othervegetables|wholemilk|curd|creamcheese|processedcheese|frozenpotatoproducts|pastry|
4,petcare|instantcoffee|soda|specialtychocolate
1,instantcoffee|
2,othervegetables|specialtybar
3,herbs|bottledwater|napkins|
7,meat|dessert|UHT-milk|rice|specialtybar|napkins|candles|
9,pipfruit|rootvegetables|othervegetables|dessert|domesticeggs|margarine|cereals|soda|candles|
9,citrusfruit|softcheese|domesticeggs|pastry|oil|bakingpowder|pickledvegetables|dogfood|coffee|
18,sausage|meat|chicken|pipfruit|wholemilk|dessert|whipped|sourcream|processedcheese|domesticeggs|rolls|buns|whitebread|pickledvegetables|soda|fruit|vegetablejuice|saltysnack|longlifebakeryproduct|waffles|pottedplants
8,frankfurter|whipped|sourcream|condensedmilk|rolls|buns|bottledwater|soda|bottledbeer|specialtybar
1,cannedbeer|
1,cannedbeer|
6,othervegetables|frozenpotatoproducts|coffee|saltysnack|specialtychocolate|shoppingbags
1,soda|
1,soda|
1,pastry|
10,ham|frozenpotatoproducts|whitebread|pastry|catfood|bottledwater|soda|candy|soundstoragemedium|shoppingbags
4,frankfurter|citrusfruit|cannedvegetables|coffee
3,soda|specialtychocolate|newspapers|
4,wholemilk|UHT-milk|domesticeggs|newspapers
1,wholemilk|
3,misc.beverages|cannedbeer|shoppingbags|
5,rootvegetables|othervegetables|wholemilk|specialtybar|dishes|
2,othervegetables|margarine
1,butter|
3,bottledbeer|chocolate|specialtybar|
5,wholemilk|pastry|flour|salt|vinegar|
2,pipfruit|berries
1,malecosmetics|
8,meat|turkey|citrusfruit|tropicalfruit|herbs|othervegetables|frozenmeals|shoppingbags
3,bottledwater|soda|dishes|
2,pastry|syrup
9,sausage|wholemilk|yogurt|slicedcheese|rolls|buns|coffee|soda|cannedbeer|specialtybar|
9,pork|pipfruit|othervegetables|butter|rice|margarine|soda|waffles|shoppingbags|
1,packagedfruit|vegetables|
2,othervegetables|petcare
1,misc.beverages|
1,wholemilk|
